;
;
;
;
   46.5389   233.4354  65.000
   44.3282   186.6256  65.500
   44.9973   180.0128  66.000
   44.2536   188.8921  66.500
   47.1683   242.2929  67.000
   45.8513   349.8754  67.500
   41.8609   101.3065  68.000
   45.7724   166.1529  68.500
   45.0502   179.7514  69.000
   45.4995   176.1741  69.500
   44.4234   139.5769  70.000
   41.8987    42.5794  70.500
   48.8715   288.4161  71.000
   44.6149   205.4299  71.500
   44.7583   181.4212  72.000
   44.7815   181.2574  72.500
   44.5501   204.1337  73.000
   48.8676   285.4959  73.500
   42.0581    39.5414  74.000
   44.2915   137.7671  74.500
   45.5272   175.8232  75.000
;
;
